Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
2,2,0,Clockwork Beast,Fourth Edition,6,Artifact Creature  - Beast,Artifact,Rare,2030,0.08,0.00,0.16,tcglo,
1,1,0,Conservator,Fourth Edition,4,Artifact,Artifact,Uncommon,2032,0.05,0.00,0.05,tcglo,
1,1,0,Coral Helm,Fourth Edition,3,Artifact,Artifact,Rare,2033,0.09,0.00,0.09,tcglo,
4,4,0,Crystal Rod,Fourth Edition,1,Artifact,Artifact,Uncommon,2034,0.01,0.00,0.04,tcglo,
1,1,0,Dancing Scimitar,Fourth Edition,4,Artifact Creature  - Spirit,Artifact,Rare,2036,0.10,0.00,0.10,tcglo,
1,1,0,Dragon Engine,Fourth Edition,3,Artifact Creature  - Construct,Artifact,Rare,2040,0.09,0.00,0.09,tcglo,
6,6,0,Grapeshot Catapult,Fourth Edition,4,Artifact Creature  - Construct,Artifact,Common,2045,0.02,0.00,0.12,tcglo,
2,2,0,Ivory Cup,Fourth Edition,1,Artifact,Artifact,Uncommon,2050,0.05,0.00,0.10,tcglo,
1,1,0,Jade Monolith,Fourth Edition,4,Artifact,Artifact,Rare,2052,0.10,0.00,0.10,tcglo,
2,2,0,Library of Leng,Fourth Edition,1,Artifact,Artifact,Uncommon,2056,0.50,0.00,1.00,tcglo,
2,2,0,Mishra's War Machine,Fourth Edition,7,Artifact Creature  - Juggernaut,Artifact,Rare,2060,0.09,0.00,0.18,tcglo,
2,2,0,Primal Clay,Fourth Edition,4,Artifact Creature  - Shapeshifter,Artifact,Rare,2065,0.14,0.00,0.28,tcglo,
3,3,0,Red Mana Battery,Fourth Edition,4,Artifact,Artifact,Rare,2066,0.14,0.00,0.42,tcglo,
2,2,0,Rod of Ruin,Fourth Edition,4,Artifact,Artifact,Uncommon,2067,0.05,0.00,0.10,tcglo,
3,3,0,Shapeshifter,Fourth Edition,6,Artifact Creature  - Shapeshifter,Artifact,Uncommon,2068,0.07,0.00,0.21,tcglo,
5,5,0,Tawnos's Weaponry,Fourth Edition,2,Artifact,Artifact,Uncommon,2072,0.05,0.00,0.25,tcglo,
4,4,0,Throne of Bone,Fourth Edition,1,Artifact,Artifact,Uncommon,2076,0.05,0.00,0.20,tcglo,
1,1,0,Triskelion,Fourth Edition,6,Artifact Creature  - Construct,Artifact,Rare,2077,1.72,0.00,1.72,tcglo,
1,1,0,Urza's Avenger,Fourth Edition,6,Artifact Creature  - Shapeshifter,Artifact,Rare,2078,0.20,0.00,0.20,tcglo,
6,6,0,Wall of Spears,Fourth Edition,3,Artifact Creature  - Wall,Artifact,Common,2079,0.03,0.00,0.18,tcglo,
1,1,0,Wooden Sphere,Fourth Edition,1,Artifact,Artifact,Uncommon,2082,0.05,0.00,0.05,tcglo,
5,5,0,Yotian Soldier,Fourth Edition,3,Artifact Creature  - Soldier,Artifact,Common,2083,0.04,0.00,0.20,tcglo,
1,1,0,Black Knight,Fourth Edition,BB,Creature  - Human Knight,Black,Uncommon,2088,0.14,0.00,0.14,tcglo,
5,5,0,Blight,Fourth Edition,BB,Enchantment  - Aura,Black,Uncommon,2089,0.10,0.00,0.50,tcglo,
5,5,0,Bog Imp,Fourth Edition,1B,Creature  - Imp,Black,Common,2090,0.03,0.00,0.15,tcglo,
6,6,0,Bog Wraith,Fourth Edition,3B,Creature  - Wraith,Black,Uncommon,2091,0.04,0.00,0.24,tcglo,
2,2,0,Carrion Ants,Fourth Edition,2BB,Creature  - Insect,Black,Uncommon,2092,0.07,0.00,0.14,tcglo,
4,4,0,Cursed Land,Fourth Edition,2BB,Enchantment  - Aura,Black,Uncommon,2094,0.05,0.00,0.20,tcglo,
6,6,0,Cyclopean Mummy,Fourth Edition,1B,Creature  - Zombie,Black,Common,2095,0.01,0.00,0.06,tcglo,
2,2,0,Dark Ritual,Fourth Edition,B,Instant,Black,Common,2096,0.15,0.00,0.30,tcglo,
1,1,0,Deathlace,Fourth Edition,B,Instant,Black,Rare,2098,0.05,0.00,0.05,tcglo,
6,6,0,Drain Life,Fourth Edition,X1B,Sorcery,Black,Common,2099,0.04,0.00,0.24,tcglo,
8,8,0,Drudge Skeletons,Fourth Edition,1B,Creature  - Skeleton,Black,Common,2100,0.05,0.00,0.40,tcglo,
6,6,0,Erg Raiders,Fourth Edition,1B,Creature  - Human Warrior,Black,Common,2102,0.03,0.00,0.18,tcglo,
4,4,0,Evil Presence,Fourth Edition,B,Enchantment  - Aura,Black,Uncommon,2103,0.07,0.00,0.28,tcglo,
8,8,0,Fear,Fourth Edition,BB,Enchantment  - Aura,Black,Common,2104,0.04,0.00,0.32,tcglo,
5,5,0,Frozen Shade,Fourth Edition,2B,Creature  - Shade,Black,Common,2105,0.04,0.00,0.20,tcglo,
2,2,0,Greed,Fourth Edition,3B,Enchantment,Black,Rare,2107,1.75,0.00,3.50,tcglo,
7,7,0,Howl from Beyond,Fourth Edition,XB,Instant,Black,Common,2108,0.04,0.00,0.28,tcglo,
2,2,0,Junun Efreet,Fourth Edition,1BB,Creature  - Efreet,Black,Uncommon,2110,0.05,0.00,0.10,tcglo,
5,5,0,Lost Soul,Fourth Edition,1BB,Creature  - Spirit Minion,Black,Common,2112,0.03,0.00,0.15,tcglo,
5,5,0,Marsh Gas,Fourth Edition,B,Instant,Black,Common,2113,0.04,0.00,0.20,tcglo,
5,5,0,Murk Dwellers,Fourth Edition,3B,Creature  - Zombie,Black,Common,2115,0.03,0.00,0.15,tcglo,
10,10,0,Paralyze,Fourth Edition,B,Enchantment  - Aura,Black,Common,2118,0.04,0.00,0.40,tcglo,
7,7,0,Pestilence,Fourth Edition,2BB,Enchantment,Black,Common,2119,0.10,0.00,0.70,tcglo,
5,5,0,Pit Scorpion,Fourth Edition,2B,Creature  - Scorpion,Black,Common,2120,0.03,0.00,0.15,tcglo,
4,4,0,Plague Rats,Fourth Edition,2B,Creature  - Rat,Black,Common,2121,0.02,0.00,0.08,tcglo,
3,3,0,Raise Dead,Fourth Edition,B,Sorcery,Black,Common,2123,0.04,0.00,0.12,tcglo,
3,3,0,Scathe Zombies,Fourth Edition,2B,Creature  - Zombie,Black,Common,2125,0.01,0.00,0.03,tcglo,
1,1,0,Sengir Vampire,Fourth Edition,3BB,Creature  - Vampire,Black,Uncommon,2127,0.10,0.00,0.10,tcglo,
3,3,0,Simulacrum,Fourth Edition,1B,Instant,Black,Uncommon,2128,0.08,0.00,0.24,tcglo,
1,1,0,Sorceress Queen,Fourth Edition,1BB,Creature  - Human Wizard,Black,Rare,2129,0.10,0.00,0.10,tcglo,
1,1,0,Terror,Fourth Edition,1B,Instant,Black,Common,2131,0.05,0.00,0.05,tcglo,
1,1,0,Unholy Strength,Fourth Edition,B,Enchantment  - Aura,Black,Common,2133,0.04,0.00,0.04,tcglo,
5,5,0,Vampire Bats,Fourth Edition,B,Creature  - Bat,Black,Common,2134,0.05,0.00,0.25,tcglo,
4,4,0,Wall of Bone,Fourth Edition,2B,Creature  - Skeleton Wall,Black,Uncommon,2135,0.05,0.00,0.20,tcglo,
2,2,0,Warp Artifact,Fourth Edition,BB,Enchantment  - Aura,Black,Rare,2136,0.10,0.00,0.20,tcglo,
4,4,0,Weakness,Fourth Edition,B,Enchantment  - Aura,Black,Common,2137,0.03,0.00,0.12,tcglo,
5,5,0,Word of Binding,Fourth Edition,XBB,Sorcery,Black,Common,2139,0.04,0.00,0.20,tcglo,
3,3,0,Animate Artifact,Fourth Edition,3U,Enchantment  - Aura,Blue,Uncommon,2143,0.05,0.00,0.15,tcglo,
2,2,0,Apprentice Wizard,Fourth Edition,1UU,Creature  - Human Wizard,Blue,Common,2144,0.09,0.00,0.18,tcglo,
6,6,0,Backfire,Fourth Edition,U,Enchantment  - Aura,Blue,Uncommon,2145,0.09,0.00,0.54,tcglo,
5,5,0,Blue Elemental Blast,Fourth Edition,U,Instant,Blue,Common,2146,0.07,0.00,0.35,tcglo,
8,8,0,Creature Bond,Fourth Edition,1U,Enchantment  - Aura,Blue,Common,2149,0.04,0.00,0.32,tcglo,
1,1,0,Drain Power,Fourth Edition,UU,Sorcery,Blue,Rare,2150,0.49,0.00,0.49,tcglo,
8,8,0,Energy Flux,Fourth Edition,2U,Enchantment,Blue,Uncommon,2151,0.09,0.00,0.72,tcglo,
6,6,0,Energy Tap,Fourth Edition,U,Sorcery,Blue,Common,2152,0.05,0.00,0.30,tcglo,
4,4,0,Erosion,Fourth Edition,UUU,Enchantment  - Aura,Blue,Common,2153,0.04,0.00,0.16,tcglo,
6,6,0,Feedback,Fourth Edition,2U,Enchantment  - Aura,Blue,Uncommon,2154,0.04,0.00,0.24,tcglo,
5,5,0,Flight,Fourth Edition,U,Enchantment  - Aura,Blue,Common,2155,0.03,0.00,0.15,tcglo,
2,2,0,Flood,Fourth Edition,U,Enchantment,Blue,Common,2156,0.06,0.00,0.12,tcglo,
6,6,0,Gaseous Form,Fourth Edition,2U,Enchantment  - Aura,Blue,Common,2157,0.03,0.00,0.18,tcglo,
2,2,0,Ghost Ship,Fourth Edition,2UU,Creature  - Spirit,Blue,Uncommon,2158,0.05,0.00,0.10,tcglo,
5,5,0,Giant Tortoise,Fourth Edition,1U,Creature  - Turtle,Blue,Common,2159,0.04,0.00,0.20,tcglo,
7,7,0,Jump,Fourth Edition,U,Instant,Blue,Common,2162,0.02,0.00,0.14,tcglo,
3,3,0,Lifetap,Fourth Edition,UU,Enchantment,Blue,Uncommon,2164,0.04,0.00,0.12,tcglo,
1,1,0,Magical Hack,Fourth Edition,U,Instant,Blue,Rare,2166,0.10,0.00,0.10,tcglo,
5,5,0,Merfolk of the Pearl Trident,Fourth Edition,U,Creature  - Merfolk,Blue,Common,2169,0.02,0.00,0.10,tcglo,
1,1,0,Mind Bomb,Fourth Edition,U,Sorcery,Blue,Uncommon,2170,0.07,0.00,0.07,tcglo,
3,3,0,Phantasmal Forces,Fourth Edition,3U,Creature  - Illusion,Blue,Uncommon,2171,0.05,0.00,0.15,tcglo,
6,6,0,Phantasmal Terrain,Fourth Edition,UU,Enchantment  - Aura,Blue,Common,2172,0.04,0.00,0.24,tcglo,
2,2,0,Phantom Monster,Fourth Edition,3U,Creature  - Illusion,Blue,Uncommon,2173,0.05,0.00,0.10,tcglo,
5,5,0,Power Leak,Fourth Edition,1U,Enchantment  - Aura,Blue,Common,2175,0.03,0.00,0.15,tcglo,
6,6,0,Power Sink,Fourth Edition,XU,Instant,Blue,Common,2176,0.04,0.00,0.24,tcglo,
5,5,0,Prodigal Sorcerer,Fourth Edition,2U,Creature  - Human Wizard,Blue,Common,2177,0.05,0.00,0.25,tcglo,
3,3,0,Psionic Entity,Fourth Edition,4U,Creature  - Illusion,Blue,Rare,2178,0.14,0.00,0.42,tcglo,
3,3,0,Psychic Venom,Fourth Edition,1U,Enchantment  - Aura,Blue,Common,2179,0.02,0.00,0.06,tcglo,
1,1,0,Relic Bind,Fourth Edition,2U,Enchantment  - Aura,Blue,Rare,2180,0.09,0.00,0.09,tcglo,
5,5,0,Sea Serpent,Fourth Edition,5U,Creature  - Serpent,Blue,Common,2181,0.03,0.00,0.15,tcglo,
1,1,0,Sindbad,Fourth Edition,1U,Creature  - Human,Blue,Uncommon,2183,0.05,0.00,0.05,tcglo,
1,1,0,Siren's Call,Fourth Edition,U,Instant,Blue,Uncommon,2184,0.05,0.00,0.05,tcglo,
6,6,0,Spell Blast,Fourth Edition,XU,Instant,Blue,Common,2186,0.03,0.00,0.18,tcglo,
4,4,0,Sunken City,Fourth Edition,UU,Enchantment,Blue,Common,2189,0.04,0.00,0.16,tcglo,
1,1,0,Thoughtlace,Fourth Edition,U,Instant,Blue,Rare,2190,0.13,0.00,0.13,tcglo,
5,5,0,Twiddle,Fourth Edition,U,Instant,Blue,Common,2192,0.05,0.00,0.25,tcglo,
5,5,0,Unstable Mutation,Fourth Edition,U,Enchantment  - Aura,Blue,Common,2193,0.03,0.00,0.15,tcglo,
4,4,0,Unsummon,Fourth Edition,U,Instant,Blue,Common,2194,0.04,0.00,0.16,tcglo,
2,2,0,Volcanic Eruption,Fourth Edition,XUUU,Sorcery,Blue,Rare,2195,0.14,0.00,0.28,tcglo,
1,1,0,Wall of Water,Fourth Edition,1UU,Creature  - Wall,Blue,Uncommon,2197,0.06,0.00,0.06,tcglo,
2,2,0,Water Elemental,Fourth Edition,3UU,Creature  - Elemental,Blue,Uncommon,2198,0.04,0.00,0.08,tcglo,
4,4,0,Zephyr Falcon,Fourth Edition,1U,Creature  - Bird,Blue,Common,2199,0.04,0.00,0.16,tcglo,
4,4,0,Carnivorous Plant,Fourth Edition,3G,Creature  - Plant Wall,Green,Common,2202,0.03,0.00,0.12,tcglo,
2,2,0,Craw Wurm,Fourth Edition,4GG,Creature  - Wurm,Green,Common,2205,0.03,0.00,0.06,tcglo,
9,9,0,Durkwood Boars,Fourth Edition,4G,Creature  - Boar,Green,Common,2208,0.03,0.00,0.27,tcglo,
3,3,0,Elven Riders,Fourth Edition,3GG,Creature  - Elf,Green,Uncommon,2209,0.05,0.00,0.15,tcglo,
4,4,0,Elvish Archers,Fourth Edition,1G,Creature  - Elf Archer,Green,Rare,2210,0.20,0.00,0.80,tcglo,
4,4,0,Fog,Fourth Edition,G,Instant,Green,Common,2211,0.05,0.00,0.20,tcglo,
1,1,0,Fungusaur,Fourth Edition,3G,Creature  - Fungus Dinosaur,Green,Rare,2213,0.18,0.00,0.18,tcglo,
2,2,0,Gaea's Liege,Fourth Edition,3GGG,Creature  - Avatar,Green,Rare,2214,0.14,0.00,0.28,tcglo,
4,4,0,Giant Growth,Fourth Edition,G,Instant,Green,Common,2215,0.03,0.00,0.12,tcglo,
4,4,0,Giant Spider,Fourth Edition,3G,Creature  - Spider,Green,Common,2216,0.04,0.00,0.16,tcglo,
9,9,0,Grizzly Bears,Fourth Edition,1G,Creature  - Bear,Green,Common,2217,0.03,0.00,0.27,tcglo,
4,4,0,Ironroot Treefolk,Fourth Edition,4G,Creature  - Treefolk,Green,Common,2220,0.03,0.00,0.12,tcglo,
5,5,0,Land Leeches,Fourth Edition,1GG,Creature  - Leech,Green,Common,2222,0.03,0.00,0.15,tcglo,
4,4,0,Ley Druid,Fourth Edition,2G,Creature  - Human Druid,Green,Uncommon,2223,0.08,0.00,0.32,tcglo,
1,1,0,Lifeforce,Fourth Edition,GG,Enchantment,Green,Uncommon,2224,0.05,0.00,0.05,tcglo,
1,1,0,Lifelace,Fourth Edition,G,Instant,Green,Rare,2225,0.07,0.00,0.07,tcglo,
1,1,0,Living Artifact,Fourth Edition,G,Enchantment  - Aura,Green,Rare,2226,0.13,0.00,0.13,tcglo,
1,1,0,Living Lands,Fourth Edition,3G,Enchantment,Green,Rare,2227,0.15,0.00,0.15,tcglo,
1,1,0,Llanowar Elves,Fourth Edition,G,Creature  - Elf Druid,Green,Common,2228,0.02,0.00,0.02,tcglo,
4,4,0,Marsh Viper,Fourth Edition,3G,Creature  - Snake,Green,Common,2230,0.04,0.00,0.16,tcglo,
5,5,0,Nafs Asp,Fourth Edition,G,Creature  - Snake,Green,Common,2231,0.05,0.00,0.25,tcglo,
11,11,0,Pradesh Gypsies,Fourth Edition,2G,Creature  - Human Nomad,Green,Common,2232,0.01,0.00,0.11,tcglo,
1,1,0,Rebirth,Fourth Edition,3GGG,Sorcery,Green,Rare,2234,0.14,0.00,0.14,tcglo,
8,8,0,Regeneration,Fourth Edition,1G,Enchantment  - Aura,Green,Common,2235,0.03,0.00,0.24,tcglo,
5,5,0,Sandstorm,Fourth Edition,G,Instant,Green,Common,2236,0.03,0.00,0.15,tcglo,
5,5,0,Scryb Sprites,Fourth Edition,G,Creature  - Faerie,Green,Common,2237,0.05,0.00,0.25,tcglo,
6,6,0,Shanodin Dryads,Fourth Edition,G,Creature  - Nymph Dryad,Green,Common,2238,0.04,0.00,0.24,tcglo,
4,4,0,Stream of Life,Fourth Edition,XG,Sorcery,Green,Common,2239,0.05,0.00,0.20,tcglo,
2,2,0,Timber Wolves,Fourth Edition,G,Creature  - Wolf,Green,Rare,2242,0.22,0.00,0.44,tcglo,
5,5,0,Untamed Wilds,Fourth Edition,2G,Sorcery,Green,Uncommon,2246,0.07,0.00,0.35,tcglo,
3,3,0,Wall of Brambles,Fourth Edition,2G,Creature  - Plant Wall,Green,Uncommon,2249,0.05,0.00,0.15,tcglo,
8,8,0,Wall of Wood,Fourth Edition,G,Creature  - Wall,Green,Common,2251,0.04,0.00,0.32,tcglo,
1,1,0,Wanderlust,Fourth Edition,2G,Enchantment  - Aura,Green,Uncommon,2252,0.04,0.00,0.04,tcglo,
6,6,0,War Mammoth,Fourth Edition,3G,Creature  - Elephant,Green,Common,2253,0.03,0.00,0.18,tcglo,
5,5,0,Whirling Dervish,Fourth Edition,GG,Creature  - Human Monk,Green,Uncommon,2255,0.04,0.00,0.20,tcglo,
2,2,0,Wild Growth,Fourth Edition,G,Enchantment  - Aura,Green,Common,2256,0.07,0.00,0.14,tcglo,
4,4,0,Winter Blast,Fourth Edition,XG,Sorcery,Green,Uncommon,2257,0.08,0.00,0.32,tcglo,
1,1,0,Ali Baba,Fourth Edition,R,Creature  - Human Rogue,Red,Uncommon,2258,0.05,0.00,0.05,tcglo,
5,5,0,Bird Maiden,Fourth Edition,2R,Creature  - Human Bird,Red,Common,2260,0.02,0.00,0.10,tcglo,
2,2,0,Blood Lust,Fourth Edition,1R,Instant,Red,Common,2261,0.06,0.00,0.12,tcglo,
8,8,0,Brothers of Fire,Fourth Edition,1RR,Creature  - Human Shaman,Red,Common,2262,0.03,0.00,0.24,tcglo,
2,2,0,Burrowing,Fourth Edition,R,Enchantment  - Aura,Red,Uncommon,2263,0.05,0.00,0.10,tcglo,
1,1,0,Cave People,Fourth Edition,1RR,Creature  - Human,Red,Uncommon,2264,0.06,0.00,0.06,tcglo,
1,1,0,Chaoslace,Fourth Edition,R,Instant,Red,Rare,2265,0.10,0.00,0.10,tcglo,
1,1,0,Crimson Manticore,Fourth Edition,2RR,Creature  - Manticore,Red,Rare,2266,0.13,0.00,0.13,tcglo,
7,7,0,Detonate,Fourth Edition,XR,Sorcery,Red,Uncommon,2267,0.05,0.00,0.35,tcglo,
5,5,0,Dwarven Warriors,Fourth Edition,2R,Creature  - Dwarf Warrior,Red,Common,2270,0.03,0.00,0.15,tcglo,
1,1,0,Earth Elemental,Fourth Edition,3RR,Creature  - Elemental,Red,Uncommon,2271,0.04,0.00,0.04,tcglo,
6,6,0,Eternal Warrior,Fourth Edition,R,Enchantment  - Aura,Red,Common,2273,0.04,0.00,0.24,tcglo,
1,1,0,Fire Elemental,Fourth Edition,3RR,Creature  - Elemental,Red,Uncommon,2274,0.08,0.00,0.08,tcglo,
1,1,0,Fireball,Fourth Edition,XR,Sorcery,Red,Common,2275,0.05,0.00,0.05,tcglo,
7,7,0,Firebreathing,Fourth Edition,R,Enchantment  - Aura,Red,Common,2276,0.01,0.00,0.07,tcglo,
6,6,0,Fissure,Fourth Edition,3RR,Instant,Red,Common,2277,0.05,0.00,0.30,tcglo,
4,4,0,Giant Strength,Fourth Edition,RR,Enchantment  - Aura,Red,Common,2279,0.05,0.00,0.20,tcglo,
6,6,0,Goblin Rock Sled,Fourth Edition,1R,Creature  - Goblin,Red,Common,2282,0.02,0.00,0.12,tcglo,
7,7,0,Gray Ogre,Fourth Edition,2R,Creature  - Ogre,Red,Common,2283,0.03,0.00,0.21,tcglo,
5,5,0,Hill Giant,Fourth Edition,3R,Creature  - Giant,Red,Common,2284,0.02,0.00,0.10,tcglo,
1,1,0,Hurr Jackal,Fourth Edition,R,Creature  - Jackal,Red,Rare,2286,0.13,0.00,0.13,tcglo,
8,8,0,Immolation,Fourth Edition,R,Enchantment  - Aura,Red,Common,2287,0.04,0.00,0.32,tcglo,
2,2,0,Inferno,Fourth Edition,5RR,Instant,Red,Rare,2288,0.15,0.00,0.30,tcglo,
4,4,0,Ironclaw Orcs,Fourth Edition,1R,Creature  - Orc,Red,Common,2289,0.04,0.00,0.16,tcglo,
1,1,0,Mana Clash,Fourth Edition,R,Sorcery,Red,Rare,2293,0.14,0.00,0.14,tcglo,
1,1,0,Manabarbs,Fourth Edition,3R,Enchantment,Red,Rare,2295,0.22,0.00,0.22,tcglo,
8,8,0,Mons's Goblin Raiders,Fourth Edition,R,Creature  - Goblin,Red,Common,2296,0.02,0.00,0.16,tcglo,
1,1,0,Orcish Artillery,Fourth Edition,1RR,Creature  - Orc Warrior,Red,Uncommon,2297,0.06,0.00,0.06,tcglo,
1,1,0,Orcish Oriflamme,Fourth Edition,3R,Enchantment,Red,Uncommon,2298,0.05,0.00,0.05,tcglo,
3,3,0,Pyrotechnics,Fourth Edition,4R,Sorcery,Red,Uncommon,2300,0.05,0.00,0.15,tcglo,
4,4,0,Red Elemental Blast,Fourth Edition,R,Instant,Red,Common,2301,0.19,0.00,0.76,tcglo,
2,2,0,Shatter,Fourth Edition,1R,Instant,Red,Common,2302,0.04,0.00,0.08,tcglo,
8,8,0,Sisters of the Flame,Fourth Edition,1RR,Creature  - Human Shaman,Red,Common,2304,0.04,0.00,0.32,tcglo,
3,3,0,Stone Giant,Fourth Edition,2RR,Creature  - Giant,Red,Uncommon,2306,0.03,0.00,0.09,tcglo,
4,4,0,Stone Rain,Fourth Edition,2R,Sorcery,Red,Common,2307,0.05,0.00,0.20,tcglo,
10,10,0,The Brute,Fourth Edition,1R,Enchantment  - Aura,Red,Common,2309,0.05,0.00,0.50,tcglo,
3,3,0,Tunnel,Fourth Edition,R,Instant,Red,Uncommon,2310,0.05,0.00,0.15,tcglo,
3,3,0,Wall of Dust,Fourth Edition,2R,Creature  - Wall,Red,Uncommon,2312,0.08,0.00,0.24,tcglo,
2,2,0,Wall of Fire,Fourth Edition,1RR,Creature  - Wall,Red,Uncommon,2313,0.03,0.00,0.06,tcglo,
7,7,0,Alabaster Potion,Fourth Edition,XWW,Instant,White,Common,2316,0.05,0.00,0.35,tcglo,
7,7,0,Amrou Kithkin,Fourth Edition,WW,Creature  - Kithkin,White,Common,2317,0.04,0.00,0.28,tcglo,
1,1,0,Animate Wall,Fourth Edition,W,Enchantment  - Aura,White,Rare,2319,0.20,0.00,0.20,tcglo,
5,5,0,Benalish Hero,Fourth Edition,W,Creature  - Human Soldier,White,Common,2322,0.04,0.00,0.20,tcglo,
5,5,0,Black Ward,Fourth Edition,W,Enchantment  - Aura,White,Uncommon,2323,0.09,0.00,0.45,tcglo,
3,3,0,Blue Ward,Fourth Edition,W,Enchantment  - Aura,White,Uncommon,2325,0.01,0.00,0.03,tcglo,
4,4,0,Brainwash,Fourth Edition,W,Enchantment  - Aura,White,Common,2326,0.05,0.00,0.20,tcglo,
2,2,0,Circle of Protection: Artifacts,Fourth Edition,1W,Enchantment,White,Uncommon,2328,0.07,0.00,0.14,tcglo,
7,7,0,Circle of Protection: Black,Fourth Edition,1W,Enchantment,White,Common,2329,0.05,0.00,0.35,tcglo,
7,7,0,Circle of Protection: Blue,Fourth Edition,1W,Enchantment,White,Common,2330,0.05,0.00,0.35,tcglo,
8,8,0,Circle of Protection: Green,Fourth Edition,1W,Enchantment,White,Common,2331,0.05,0.00,0.40,tcglo,
5,5,0,Circle of Protection: Red,Fourth Edition,1W,Enchantment,White,Common,2332,0.05,0.00,0.25,tcglo,
7,7,0,Circle of Protection: White,Fourth Edition,1W,Enchantment,White,Common,2333,0.03,0.00,0.21,tcglo,
1,1,0,Conversion,Fourth Edition,2WW,Enchantment,White,Uncommon,2334,0.07,0.00,0.07,tcglo,
9,9,0,Death Ward,Fourth Edition,W,Instant,White,Common,2336,0.05,0.00,0.45,tcglo,
4,4,0,Disenchant,Fourth Edition,1W,Instant,White,Common,2337,0.05,0.00,0.20,tcglo,
1,1,0,Eye for an Eye,Fourth Edition,WW,Instant,White,Rare,2340,0.10,0.00,0.10,tcglo,
7,7,0,Fortified Area,Fourth Edition,1WW,Enchantment,White,Common,2341,0.05,0.00,0.35,tcglo,
4,4,0,Green Ward,Fourth Edition,W,Enchantment  - Aura,White,Uncommon,2342,0.05,0.00,0.20,tcglo,
7,7,0,Healing Salve,Fourth Edition,W,Instant,White,Common,2343,0.05,0.00,0.35,tcglo,
